"","case_number","cmte_id","cmte_name","report_type","report_year","fine_amount","office","state","district","cand_name","late_filed_not_filed","paid_yes_no","line_image","end_line_image","timestamp"
"1314",1425,"C00376384","MONROE COUNTY DEMOCRATIC COMMITTEE","MY",2005,5500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_25092583967+0","http://docquery.fec.gov/cgi-bin/fecimg/?_25092583984+0","26-AUG-18"
"1315",1426,"C00044990","SOUTH DAKOTA REPUBLICAN PARTY","M8",2005,5500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584150+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584166+0","26-AUG-18"
"1316",1427,"C00167346","TENNESSEE DEMOCRATIC PARTY","M9",2005,1600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584167+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584183+0","26-AUG-18"
"1317",1428,"C00396044","JOHN KENNEDY FOR US SENATE INC","Q3",2005,4500,"S","LA",0,"KENNEDY, JOHN NEELY","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584761+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584777+0","26-AUG-18"
"1318",1429,"C00409888","COBURN FOR SENATE 2010","Q3",2005,0,"S","OK",0,"COBURN, THOMAS A","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601519+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601557+0","26-AUG-18"
"1319",1431,"C00392506","JAMES A GARNER CONGRESSIONAL COMMITTEE","Q3",2005,9000,"H","NY",4,"GARNER, JAMES A","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590395+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590414+0","26-AUG-18"
"1320",1432,"C00411983","MINAMYER FOR CONGRESS","Q3",2005,0,"H","OH",2,"MINAMYER, WILLIAM ERIC","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584778+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584793+0","26-AUG-18"
"1321",1433,"C00399345","SOCAS FOR CONGRESS","Q3",2005,0,"H","VA",10,"SOCAS, JAMES ROBERT","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584794+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584809+0","26-AUG-18"
"1322",1434,"C00002469","MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS","M11",2005,3600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584810+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584823+0","26-AUG-18"
"1323",1435,"C00044990","SOUTH DAKOTA REPUBLICAN PARTY","M11",2005,1000,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584824+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584840+0","26-AUG-18"
"1324",1436,"C00257519","TRAVIS COUNTY DEMOCRATIC PARTY","M11",2005,130,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584841+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092584854+0","26-AUG-18"
"1325",1437,"C00265603","KERN COUNTY REPUBLICAN CENTRAL COMMITTEE (FED)","M12",2005,150,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590415+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590428+0","26-AUG-18"
"1326",1438,"C00309146","AMERICAN GAMING ASSOCIATION POLITICAL ACTION COMMITTEE","YE",2005,2600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591018+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591039+0","26-AUG-18"
"1327",1439,"C00204388","BI-COUNTY POLITICAL ACTION COMMITTEE","YE",2005,1700,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591040+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591061+0","26-AUG-18"
"1328",1440,"C00344705","CANNON FOR CONGRESS","YE",2005,2150,"H","UT",3,"CANNON, CHRISTOPHER B HON.","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601558+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601599+0","26-AUG-18"
"1329",1441,"C00416354","FRIENDS OF SHEELER","YE",2005,3400,"S","RI",0,"SHEELER, CARL L","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601600+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601646+0","26-AUG-18"
"1330",1442,"C00413997","GARY DODDS FOR CONGRESS","YE",2005,1050,"H","NH",1,"DODDS, GARY B","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591062+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591086+0","26-AUG-18"
"1331",1443,"C00219568","INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL NO. 12 VOLUNTARY LEGISLATIVE FUND","YE",2005,2700,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601647+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601743+0","26-AUG-18"
"1332",1444,"C00190991","PIPEFITTERS LOCAL UNION NO 274 POLITICAL ACTION COMMITTEE","YE",2005,1200,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601744+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601791+0","26-AUG-18"
"1333",1445,"C00155440","PLUMBERS & PIPEFITTERS LOCAL NO 9 POLITICAL ACTION COMMITTEE","YE",2005,3100,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602954+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602996+0","26-AUG-18"
"1334",1446,"C00191213","PLUMBERS LOCAL 14 PAC FUND (PLUMBERS LOCAL UNION NO. 24)","YE",2005,2000,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601792+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601834+0","26-AUG-18"
"1335",1447,"C00252056","PLUMBERS LOCAL UNION NO. 24 POLITICAL ACTION COMMITTEE","YE",2005,1600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601835+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601881+0","26-AUG-18"
"1336",1448,"C00412817","SPENCER FOR SENATE COMMITTEE","YE",2005,0,"S","NY",0,"SPENCER, JOHN D","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612817+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612857+0","26-AUG-18"
"1337",1450,"C00376384","MONROE COUNTY DEMOCRATIC COMMITTEE","YE",2005,6875,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593027+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593052+0","26-AUG-18"
"1338",1451,"C00179473","REGIONS FINANCIAL CORPORATION COMMITTEE ON GOVERNMENT AFFAIRS","YE",2005,5500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593053+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593078+0","26-AUG-18"
"1339",1452,"C00415927","GILLILAND FOR CONGRESS","12P",2006,475,"H","IL",17,"GILLILAND, BRIAN SCOTT","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591087+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591105+0","26-AUG-18"
"1340",1453,"C00169508","AAI CORPORATION POLITICAL ACTION COMMITTEE","Q1",2006,600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590429+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590453+0","26-AUG-18"
"1341",1454,"C00415794","ALLEN W MCCULLOCH MD FOR US SENATE","Q1",2006,1300,"S","NM",0,"MCCULLOCH, ALLEN WILSON","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590454+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590478+0","26-AUG-18"
"1342",1455,"C00156935","AMERICAN INTELLECTUAL PROPERTY LAW ASSOCIATION (AIPLA) PAC","Q1",2006,700,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590479+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590503+0","26-AUG-18"
"1343",1456,"C00226472","ARPAC","Q1",2006,380,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590504+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590528+0","26-AUG-18"
"1344",1457,"C00204388","BI-COUNTY POLITICAL ACTION COMMITTEE","Q1",2006,385,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593079+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593108+0","26-AUG-18"
"1345",1458,"C00285098","BIG TENT PAC","Q1",2006,1125,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593109+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593138+0","26-AUG-18"
"1346",1459,"C00229997","CALIFORNIA DEMOCRATIC COUNCIL","Q1",2006,1600,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601882+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601931+0","26-AUG-18"
"1347",1460,"C00280206","CITIZENS FOR ARLEN SPECTER","Q1",2006,5200,"S","PA",0,"SPECTER, ARLEN","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593139+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593167+0","26-AUG-18"
"1348",1461,"C00222455","CITIZENS FOR JOE KENNEDY 1988","Q1",2006,2550,"H","MA",8,"KENNEDY, JOSEPH P II","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590529+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590553+0","26-AUG-18"
"1349",1462,"C00195362","COHEN & GRIGSBY, P.C., POLITICAL ACTION COMMITTEE","Q1",2006,1500,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590554+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590578+0","26-AUG-18"
"1350",1463,"C00420505","COMMITTEE TO ELECT MARVELL MITCHELL FOR CONGRESS","Q1",2006,1350,"H","TN",9,"MITCHELL, MARVELL R","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612282+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612332+0","26-AUG-18"
"1351",1464,"C00407635","CONSOLIDATED EDISON INC EMPLOYEES' POLITICAL ACTION COMMITTEE (CEIPAC)","Q1",2006,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593168+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593197+0","26-AUG-18"
"1352",1465,"C00304832","CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE","Q1",2006,300,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593198+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593229+0","26-AUG-18"
"1353",1466,"C00034470","DIAGEO NORTH AMERICA, INC.  EMPLOYEES' POLITICAL PARTICIPATION COMMITTEE","Q1",2006,225,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590579+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590603+0","26-AUG-18"
"1354",1467,"C00401299","FRESENIUS MEDICAL CARE NORTH AMERICA PAC","Q1",2006,680,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590604+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590628+0","26-AUG-18"
"1355",1468,"C00279182","FRIENDS OF FERRIS","Q1",2006,2962,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590629+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590653+0","26-AUG-18"
"1356",1469,"C00414128","GILLESPIE FOR CONGRESS","Q1",2006,320,"H","SC",5,"GILLESPIE, PARK DOUGLAS","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593230+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593259+0","26-AUG-18"
"1357",1470,"C00415745","HACKETT FOR SENATE","Q1",2006,0,"S","OH",0,"HACKETT, PAUL III","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_28092620726+0","http://docquery.fec.gov/cgi-bin/fecimg/?_28092620799+0","26-AUG-18"
"1358",1471,"C00338848","HOOSIER POLITICAL ACTION COMMITTEE","Q1",2006,2700,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602728+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602800+0","26-AUG-18"
"1359",1472,"C00136689","ELECTROPAC","Q1",2006,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092601932+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602003+0","26-AUG-18"
"1360",1473,"C00201491","INTERGRAPH CORPORATION POLITICAL ACTION COMMITTEE","Q1",2006,320,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590654+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590678+0","26-AUG-18"
"1361",1474,"C00420091","MAATTA FOR CONGRESS CAMPAIGN COMMITTEE","Q1",2006,1725,"H","SC",1,"MAATTA, RANDAL G","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593260+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593289+0","26-AUG-18"
"1362",1475,"C00389882","MARIJUANA POLICY PROJECT PAC","Q1",2006,460,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590679+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590703+0","26-AUG-18"
"1363",1476,"C00001180","MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY","Q1",2006,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593290+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593318+0","26-AUG-18"
"1364",1477,"C00417220","MISSOURIANS FOR ALAN CONNER INC","Q1",2006,0,"H","MO",4,"CONNER, GLENN ALAN","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602896+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602953+0","26-AUG-18"
"1365",1478,"C00376384","MONROE COUNTY DEMOCRATIC COMMITTEE","Q1",2006,6875,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593319+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593347+0","26-AUG-18"
"1366",1479,"C00188987","NATIONAL ASSOCIATION FOR HOME CARE POLITICAL ACTION COMMITTEE","Q1",2006,320,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602004+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602052+0","26-AUG-18"
"1367",1480,"C00139964","NATIONAL ASSOCIATION OF WHEAT GROWERS POLITICAL ACTION COMMITTEE (WHEATPAC)","Q1",2006,320,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590704+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590728+0","26-AUG-18"
"1368",1481,"C00343947","NEXT CENTURY FUND","Q1",2006,2500,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590729+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590753+0","26-AUG-18"
"1369",1482,"C00408146","POLITICAL HALL OF FAME PAC","Q1",2006,680,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590754+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590778+0","26-AUG-18"
"1370",1483,"C00241083","REPUBLICANS FOR CHOICE PAC","Q1",2006,6875,"","",NA,"","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593348+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593377+0","26-AUG-18"
"1371",1484,"C00396655","SAN ANTONIO POLICE OFFICERS' ASSOCIATION POLITICAL ACTION COMMITTEE","Q1",2006,5625,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593378+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593406+0","26-AUG-18"
"1372",1485,"C00410308","SHORE PAC","Q1",2006,200,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590779+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590803+0","26-AUG-18"
"1373",1486,"C00252395","STEAMFITTERS LOCAL 475 POLITICAL ACTION COMMITTEE","Q1",2006,4656,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590804+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092590828+0","26-AUG-18"
"1374",1487,"C00416719","LARRY KISSELL FOR CONGRESS","12P",2006,210,"H","NC",8,"KISSELL, LARRY W","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591106+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591120+0","26-AUG-18"
"1375",1488,"C00411777","WULSIN FOR CONGRESS","12P",2006,475,"H","OH",2,"WULSIN, VICTORIA","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591121+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092591135+0","26-AUG-18"
"1376",1489,"C00153031","OREGON REPUBLICAN PARTY","M4",2006,900,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593407+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593424+0","26-AUG-18"
"1377",1490,"C00404707","PENNACCHIO FOR PENNSYLVANIA","12P",2006,1400,"S","PA",0,"PENNACCHIO, CHARLES FRANCIS","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593425+0","http://docquery.fec.gov/cgi-bin/fecimg/?_26092593439+0","26-AUG-18"
"1378",1491,"C00153031","OREGON REPUBLICAN PARTY","M5",2006,500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_29092622215+0","http://docquery.fec.gov/cgi-bin/fecimg/?_29092622275+0","26-AUG-18"
"1379",1492,"C00420091","MAATTA FOR CONGRESS CAMPAIGN COMMITTEE","12P",2006,210,"H","SC",1,"MAATTA, RANDAL G","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602053+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602068+0","26-AUG-18"
"1380",1493,"C00005157","INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND","M6",2006,2100,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602366+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602402+0","26-AUG-18"
"1381",1494,"C00153031","OREGON REPUBLICAN PARTY","M6",2006,375,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_29092622276+0","http://docquery.fec.gov/cgi-bin/fecimg/?_29092622335+0","26-AUG-18"
"1382",1495,"C00422972","ANDERSON FOR CONGRESS","Q2",2006,5100,"H","AR",3,"ANDERSON, WOODROW WILSON III","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593661+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593687+0","26-AUG-18"
"1383",1496,"C00351031","ASIAN AMERICAN ACTION FUND","Q2",2006,0,"","",NA,"","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602069+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602123+0","26-AUG-18"
"1384",1497,"C00412775","CAMPAIGN TO ELECT MIKE PROTACK","Q2",2006,1400,"S","DE",0,"PROTACK, MICHAEL D","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612333+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612377+0","26-AUG-18"
"1385",1498,"C00417253","CITIZENS TO ELECT PHILLIP JACKSON","Q2",2006,300,"H","IL",1,"JACKSON, PHILLIP","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593688+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593716+0","26-AUG-18"
"1386",1499,"C00415174","COMMITTEE TO ELECT KEVIN SCOTT","Q2",2006,2925,"S","MA",0,"SCOTT, KEVIN PAUL","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612378+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612421+0","26-AUG-18"
"1387",1500,"C00418368","COMMITTEE TO ELECT MATT MILLER","Q2",2006,900,"H","OH",16,"MILLER, MATT","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593717+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593743+0","26-AUG-18"
"1388",1501,"C00423632","FISHER FOR CONGRESS 2006","Q2",2006,5100,"H","NC",12,"FISHER, ADA","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612858+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092612887+0","26-AUG-18"
"1389",1502,"C00127811","FLORIDA CONGRESSIONAL COMMITTEE","Q2",2006,800,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593744+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593770+0","26-AUG-18"
"1390",1503,"C00409433","FRIENDS FOR DIX","Q2",2006,9500,"H","IA",1,"DIX, WILLIAM","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593771+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593799+0","26-AUG-18"
"1391",1504,"C00415927","GILLILAND FOR CONGRESS","Q2",2006,0,"H","IL",17,"GILLILAND, BRIAN SCOTT","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593800+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593824+0","26-AUG-18"
"1392",1505,"C00136689","ELECTROPAC","Q2",2006,680,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602124+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602171+0","26-AUG-18"
"1393",1506,"C00417048","JEFF LATAS FOR CONGRESS","Q2",2006,0,"H","AZ",8,"LATAS, JEFFREY LYNN","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_28092620800+0","http://docquery.fec.gov/cgi-bin/fecimg/?_28092620845+0","26-AUG-18"
"1394",1507,"C00418954","KISER 4 CONGRESS","Q2",2006,2700,"H","IN",7,"KISER, KRIS","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593825+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593853+0","26-AUG-18"
"1395",1508,"C00406769","LIBERTY PA PAC","Q2",2006,900,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593854+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593882+0","26-AUG-18"
"1396",1509,"C00426643","MARK G FLANAGAN FOR CONGRESS","Q2",2006,0,"H","FL",13,"FLANAGAN, MARK GREGORY","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602403+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602453+0","26-AUG-18"
"1397",1510,"C00421685","MARK HUNT FOR CONGRESS","Q2",2006,2475,"H","WV",2,"HUNT, MARK ALLEN","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602172+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602200+0","26-AUG-18"
"1398",1511,"C00001180","MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY","Q2",2006,1125,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593883+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593909+0","26-AUG-18"
"1399",1512,"C00376384","MONROE COUNTY DEMOCRATIC COMMITTEE","Q2",2006,9625,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593910+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593938+0","26-AUG-18"
"1400",1513,"C00309468","MSCPAC","Q2",2006,400,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593939+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593965+0","26-AUG-18"
"1401",1514,"C00410985","MURRAY ENERGY CORPORATION POLITICAL ACTION COMMITTEE","Q2",2006,975,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593966+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593992+0","26-AUG-18"
"1402",1515,"C00413229","NEREE FOR US CONGRESS","Q2",2006,380,"H","FL",24,"NEREE, DUFIRSTSON JULIO","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593993+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594019+0","26-AUG-18"
"1403",1516,"C00300939","OHIO ASSOCIATION OF MORTGAGE BROKERS PAC (OAMB PAC)","Q2",2006,250,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594020+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594046+0","26-AUG-18"
"1404",1517,"C00241083","REPUBLICANS FOR CHOICE PAC","Q2",2006,4050,"","",NA,"","N","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594047+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594075+0","26-AUG-18"
"1405",1518,"C00415067","REYNOLDS CONSTRUCTION MANAGEMENT INC PAC","Q2",2006,6500,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_7092602201+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602262+0","26-AUG-18"
"1406",1519,"C00386482","RIGHTMARCH.COM PAC INC","Q2",2006,500,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594076+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594102+0","26-AUG-18"
"1407",1520,"C00396655","SAN ANTONIO POLICE OFFICERS' ASSOCIATION POLITICAL ACTION COMMITTEE","Q2",2006,1350,"","",NA,"","N","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594103+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594123+0","26-AUG-18"
"1408",1521,"C00423061","SCHLESINGER US SENATE","Q2",2006,1850,"S","CT",0,"SCHLESINGER, ALAN","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602263+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602313+0","26-AUG-18"
"1409",1522,"C00040725","UNITED FRESH PRODUCE ASSOCIATION  FRESH POLITICAL ACTION COMMITTEE (FRESH PAC)","Q2",2006,145,"","",NA,"","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594124+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092594150+0","26-AUG-18"
"1410",1523,"C00421628","WEGNER FOR CONGRESS","Q2",2006,0,"H","NV",4,"WEGNER, KENNETH","L","N","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602801+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092602853+0","26-AUG-18"
"1411",1524,"C00422154","KIM CLARK FOR CONGRESS","12P",2006,220,"H","MI",6,"CLARK, KIM L","L","Y","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593540+0","http://docquery.fec.gov/cgi-bin/fecimg/?_27092593554+0","26-AUG-18"
